code,industry_infos,sector_infos,firstone,firstone_1,firstone_2,firstone_3,firstone_4
WRB,Insurance—Property,Financial,5.91,2.94,2.61,2.37,2.3
NRG,Utilities—Independent,Utilities,17.36,-4.27,16.18,10.78,-0.82
LKQ,Auto,Consumer,2.73,2.36,2.84,3.05,2.66
FFIV,Software—Infrastructure,Technology,0.56236,0.93559,1.11,0.89604,0.43241
LNC,Insurance—Life,Financial,1.04,2.2,3.18,6.42,2.25
MYL,null,null,3.12,-2.79,-10.38,-9.16,1.86
CPB,Packaged,Consumer,1.88,2.12,2.61,2.88,1.6
ALB,Specialty,Basic,2.53,-0.03824,-3.93,4.25,0.95677
UHS,Medical,Healthcare,1.54,2.39,2.18,3.24,2.09
IRM,REIT—Specialty,Real,,,,,
REG,REIT—Retail,Real,,,,,
JNPR,Communication,Technology,0.557,1.33,0.889,0.62,-0.311
COG,null,null,0.30464,1.26,1.31,-0.14961,0.30374
WHR,"Furnishings,",Consumer,3.13,2.98,4.71,5.81,4.33
TXT,Aerospace,Industrials,1.93,2.07,1.85,1.83,1.71
FANG,Oil,Energy,7.79,10.02,6.49,3.11,2.2
GL,Insurance—Life,Financial,1.64,1.78,1.89,2.0,1.79
CCL,Travel,Consumer,-18.91,-26.2,-28.36,-20.72,-19.73
HII,Aerospace,Industrials,1.4,1.2,1.47,1.29,1.48
SNA,Tools,Industrials,2.17,2.24,1.96,2.08,1.93
WRK,Packaging,Consumer,0.398,1.82,3.24,2.5,1.12
TAP,Beverages—Brewers,Consumer,1.52,0.8,4.53,3.89,0.841
PRGO,Drug,Healthcare,-0.013,0.096,-0.589,-0.577,0.381
DVA,Medical,Healthcare,1.62,1.87,2.6,2.94,2.37
LYV,Entertainment,Communication,-0.85896,-2.1,0.42633,-1.95,-3.08
BWA,Auto,Consumer,2.0,1.29,0.96,2.47,0.65
IPG,Advertising,Communication,1.59,3.58,2.4,2.63,0.917
DISCK,null,null,4.56,0.54,1.56,6.72,1.4
AAL,Airlines,Industrials,-16.35,-9.31,1.69,0.19,-12.5
AOS,Specialty,Industrials,1.2,1.4,1.32,1.18,0.977
AIZ,Insurance—Specialty,Financial,1.46,1.28,-0.44,2.03,1.58
CF,Agricultural,Basic,8.83,7.05,-1.85,2.46,1.51
VNO,REIT—Office,Real,,,,,
PNR,Specialty,Industrials,1.18,1.49,1.44,1.32,1.29
FRT,REIT—Retail,Real,,,,,
BEN,Asset,Financial,,,,,
ZION,Banks—Regional,Financial,2.01,2.12,2.38,3.49,3.2
RHI,Staffing,Industrials,1.68,1.68,1.71,1.49,1.11
ROL,Personal,Consumer,0.72445,0.65337,0.93853,0.98854,0.92643
MHK,"Furnishings,",Consumer,2.45,1.89,2.71,3.36,2.37
AIV,REIT—Residential,Real,,,,,
CMA,Banks—Regional,Financial,1.88,2.27,2.61,3.26,3.49
IPGP,Semiconductor,Technology,0.69572,0.65087,0.75402,0.698,0.68127
NWL,Household,Consumer,2.34,0.96,1.9,1.97,0.89
KIM,REIT—Retail,Real,,,,,
HWM,Specialty,Industrials,1.31,0.77,0.27,0.74,0.8
FLIR,null,null,0.38807,0.7524,0.60663,0.61257,0.15424
PBCT,null,null,1.5,1.4,1.71,1.45,2.08
PWR,Engineering,Industrials,0.84641,1.05,1.74,1.17,0.89761
NLSN,Consulting,Industrials,1.05,2.59,1.08,0.76,0.31
MRO,Oil,Energy,13.04,6.49,1.84,0.16,0.97
APA,Oil,Energy,18.83,3.82,-1.13,3.16,3.88
DVN,Oil,Energy,9.73,14.87,8.32,2.53,2.11
NBL,null,null,-4.08,-39.63,-12.06,0.17,-0.1
SEE,Packaging,Consumer,1.5,1.69,1.08,1.09,1.06
NOV,Oil,Energy,-0.5,-0.4,-0.69,-0.26,-1.15
HFC,null,null,-0.39107,2.77,1.67,1.46,-1.2
MOS,Agricultural,Basic,11.82,6.65,3.72,4.37,1.57
ALK,Airlines,Industrials,-1.43,0.18,1.94,3.97,-1.31
FOX,Broadcasting,Communication,2.83,-0.85,7.01,2.53,5.67
NWSA,Broadcasting,Communication,0.82,2.35,1.96,-0.14,0.79
LEG,"Furnishings,",Consumer,0.904,1.06,0.972,1.12,0.875
NCLH,Travel,Consumer,-9.83,-15.73,-8.46,-7.18,-13.7
SLG,REIT—Office,Real,,,,,
HBI,Apparel,Consumer,1.19,0.60033,1.52,1.29,-2.63
DXC,Information,Technology,5.3,0.98,-1.88,2.78,-7.98
IVZ,Asset,Financial,,,,,
TPR,Luxury,Consumer,1.23,3.18,2.27,2.0,0.917
HOG,Recreational,Consumer,2.23,0.21567,1.63,2.06,2.59
PVH,Apparel,Consumer,1.33,3.91,2.8,1.82,0.999
RL,Apparel,Consumer,0.244,2.18,1.93,1.65,-0.741
KSS,Department,Consumer,0.14,2.99,2.43,3.82,0.14
FLS,Specialty,Industrials,-0.1582,0.1673,0.49785,0.45354,0.1408
UNM,Insurance—Life,Financial,2.54,1.6,3.29,1.83,1.53
DISCA,null,null,0.54,1.56,6.72,1.4,2.74
LB,null,null,2.77,8.6,3.31,-0.49,-2.97
HRB,Personal,Consumer,6.7,-1.91,-1.52,0.89208,9.47
FTI,Oil,Energy,-0.617,-1.56,-0.322,-1.67,3.68
XRX,Information,Technology,-0.56,-6.75,0.9,0.91,0.39
GPS,Apparel,Consumer,-1.62,-0.16,-1.52,2.58,1.66
ADS,null,null,2.24,2.74,2.86,0.933,1.33
JWN,Department,Consumer,0.2,2.0,0.64,0.8,-1.66
UAA,Apparel,Consumer,-0.5961,1.1,1.13,0.59207,0.77752
UA,Apparel,Consumer,-0.5961,1.1,1.13,0.59207,0.77752
NWS,Broadcasting,Communication,0.82,2.35,1.96,-0.14,0.79
COTY,Household,Consumer,0.529,2.58,2.26,-1.86,0.431
